Biomasse type;Repetition;SOL perc initial (%);LIC perc initial (%);HOLO perc initial (%)
Green tea;1;75,56440991;8,848107002;15,58748309
Green tea;2;75,6059644;10,98045656;13,41357903
Green tea;3;75,59920551;8,934974976;15,46581951
Green tea;4;75,78114082;10,06594673;14,15291245
Green tea;5;72,17542281;12,31910269;15,50547449
Green tea;6;76,53195645;8,74967734;14,71836621
Rooibos tea;1;43,88752998;18,27845489;37,83401513
Rooibos tea;2;46,00190177;16,64346426;37,35463397
Rooibos tea;3;46,43666828;16,2911433;37,27218841
Cranberry litter;1;31,62152034;41,67327294;26,70520672
Cranberry litter;2;36,35155452;38,13019631;25,51824918
Cranberry litter;3;28,34218456;44,93579001;26,72202543
Cranberry litter;4;34,89242049;38,49043695;26,61714256
Cranberry litter;5;36,18484667;39,20266909;24,61248424
Cranberry litter;6;36,48983239;37,94286349;25,56730413
