Nombre;Region;Stabilisation_factor_S ;SE_Stabilisation_factor;Decomposition_rate_K;SE_K
1;US-FL mangrove-dwarf;0,2706;0,02899;0,0097505;0,0006525
2;US-FL mangrove-fringe;0,1934;0,00962;0,023;0,00168
3;IE peat-disturbed;0,255;0,02287;0,0092889;0,000373
4;IE peat-undisturbed;0,19812;0,0087;0,010133;0,00056
5;IS grassland-warmed;0,038384;0,012029;0,0196;0,000438
6;IS grassland-ambient;0,16297;0,01739;0,0211;0,001439
7;CN desert-sandy;0,30826;0,04203;0,0113;0,000776
8;CN desert-loamy;0,548;0,06196;0,00462;0,0006459
9;NL forest;0,13978;0,01304;0,0211;0,000883
10;NL wet forest;0,13279;0,00869;0,013405;0,000559
11;NL pasture;0,13864;0,01015;0,011819;0,000653
12;NL peat;0,23001;0,00515;0,010036;0,000836
13;PA forest;0,056488;0,021739;0,0393;0,000396
14;AU mixed forest;0,26276;0,03333;0,0266;0,001054
15;AU birch forest;0,28761;0,02174;0,0211;0,000676
16;Lab 25 degree C;0,20201;0,00869;0,022906;0,002518
17;Lab 25 degree C;0,29928;0,0087;0,0189;7,70E-05
18;Cranberries;0,2802262;0,001061137;0,006563192;2,44E-05
