Nombre,Region,Stabilisation_factor_S ,Decomposition_rate_K
1,US-FL mangrove-dwarf,2.86E-01,1.10E-02
2,US-FL mangrove-fringe,2.04E-01,2.30E-02
3,IE peat-disturbed,2.55E-01,1.03E-02
4,IE peat-undisturbed,2.19E-01,1.13E-02
5,IS grassland-warmed,6.93E-02,1.96E-02
6,IS grassland-ambient,1.83E-01,2.11E-02
7,CN desert-sandy,3.22E-01,1.13E-02
8,CN desert-loamy,5.48E-01,4.62E-03
9,NL forest,1.61E-01,2.11E-02
10,NL wet forest,1.54E-01,1.43E-02
11,NL pasture,1.61E-01,1.27E-02
12,NL peat,2.46E-01,1.13E-02
13,PA forest,8.27E-02,3.93E-02
14,AU mixed forest,2.80E-01,2.66E-02
15,AU birch forest,3.04E-01,2.11E-02
16,Lab 25°C,2.26E-01,2.37E-02
17,Lab 15°C,3.15E-01,1.89E-02
18,Cranberries,2.870E-01,0.006
