;TeaType;PertePoids;Prélèvement
1;Cranberry litter;1.026479607;1
2;Green tea;0.642271915;1
3;Rooibos tea;0.880306162;1
4;Cranberry litter;1.026168378;2
5;Green tea;0.551769023;2
6;Rooibos tea;0.832097009;2
7;Cranberry litter;0.992940092;3
8;Green tea;0.474090072;3
9;Rooibos tea;0.767682194;3
10;Cranberry litter;0.966892323;4
11;Green tea;0.446886037;4
12;Rooibos tea;0.749353215;4
13;Cranberry litter;0.932405187;5
14;Green tea;0.477520305;5
15;Rooibos tea;0.711272355;5
16;Cranberry litter;0.852075681;7
17;Green tea;0.419522943;7
18;Rooibos tea;0.678597441;7
